mean_variance	median_variance	nun5	nun20	nun50
"AGAP000129"	9.66910903088588	8.56211398198614	26	52	99
"AGAP000131"	7.56051109912402	7.31622515540285	66	155	311
"AGAP000132"	3.79515582723314	3.62568616571771	102	293	572
"AGAP000133"	0.941253749721543	0.526700534628493	85	203	289
"AGAP000136"	9.71834475635915	8.47513290178745	22	62	114
"AGAP000137"	9.17049128456812	8.16539844962738	32	79	142
"AGAP000138"	3.38336403214755	3.11789099142327	128	451	894
"AGAP000139"	9.59132337753659	8.48534308854593	51	111	164
"AGAP000140"	8.69191788625197	7.74376544700543	40	100	182
"AGAP000141"	10.4327859041827	8.77803674632725	16	34	62
"AGAP000142"	9.04051083309382	7.97767002201512	38	94	167
"AGAP000143"	8.62013739254749	7.797610924802	40	112	182
"AGAP000144"	8.43091313161077	7.80664688912523	61	144	220
"AGAP000145"	0.933847605168634	0.527222812609548	91	216	320
"AGAP000146"	8.58855791615442	7.64183460600699	28	93	190
"AGAP000147"	8.95344605458574	7.93468459941508	37	83	160
"AGAP000149"	8.46256343491601	7.78449835297918	57	129	231
"AGAP000150"	3.39048707171751	3.07893299463157	143	520	1047
"AGAP000151"	1.40547642604125	1.0248092105578	140	446	888
"AGAP000152"	3.18338883456683	2.97417749743363	131	447	910
"AGAP000153"	10.0277843935935	8.66669146996266	21	52	97
"AGAP000154"	8.88880389181408	8.16811416889359	41	110	186
"AGAP000155"	8.41854616945819	7.57085457176726	26	93	187
"AGAP000156"	8.6435387675194	8.27304422126826	72	149	235
"AGAP000158"	5.6052849690829	5.36852374971131	111	316	566
"AGAP000159"	8.65721356136035	8.21526632298406	62	144	259
"AGAP000161"	9.7148936638666	8.42611037414452	24	50	116
"AGAP000162"	8.95725541514214	8.80897638995962	79	176	342
"AGAP000163"	1.21173322904046	0.772393579486007	124	356	589
"AGAP000164"	8.56281423774424	7.65116903124937	32	96	192
"AGAP000165"	1.77299533224745	1.45007435444833	115	302	538
"AGAP000166"	7.425281708549	7.12882843217247	98	289	590
"AGAP000167"	5.41069919519463	5.71623032193033	125	372	710
"AGAP000168"	9.02469536051892	8.14458229786077	35	76	155
"AGAP000169"	10.4660085276123	8.79867140073466	10	25	62
"AGAP000170"	1.90872847735322	1.63171635900399	134	408	744
"AGAP000171"	8.72543252666616	8.14622574394352	56	124	181
